camdist,camang,pattdist,gap,pixrange
2500.0,90.0,2000.0,1.0,[100, 2500]
R,sx,sy
29853.8108282,0.322009277438,29852.7864717
ldx,ldy,slopeerror,vsm
-889.595711022,12.2409804966,-2.55061925685e-05,-1469.46535835
-888.931140271,12.2211783435,-2.54645263709e-05,-1468.38612639
-888.266553716,12.2013905057,-2.54229153487e-05,-1467.30682799
-887.601951368,12.1816169847,-2.53813595045e-05,-1466.22746319
-886.937333239,12.1618577818,-2.5339858839e-05,-1465.14803203
-886.27269934,12.1421128984,-2.5298413354e-05,-1464.06853455
-885.608049681,12.1223823359,-2.52570230502e-05,-1462.9889708
-884.943384274,12.1026660957,-2.52156879294e-05,-1461.90934081
-884.27870313,12.0829641792,-2.5174407991e-05,-1460.82964464
-883.61400626,12.0632765878,-2.51331832374e-05,-1459.74988233
-882.949293675,12.0436033228,-2.50920136685e-05,-1458.67005391
-882.284565387,12.0239443857,-2.50508992861e-05,-1457.59015943
-881.619821406,12.0042997777,-2.50098400894e-05,-1456.51019894
-880.955061743,11.9846695005,-2.49688360812e-05,-1455.43017247
-880.29028641,11.9650535552,-2.49278872599e-05,-1454.35008007
-879.625495418,11.9454519432,-2.48869936273e-05,-1453.26992179
-878.960688777,11.9258646661,-2.48461551838e-05,-1452.18969766
-878.2958665,11.9062917251,-2.48053719301e-05,-1451.10940773
-877.631028596,11.8867331216,-2.47646438652e-05,-1450.02905204
-876.966175078,11.867188857,-2.47239709913e-05,-1448.94863063
-876.301305957,11.8476589327,-2.46833533073e-05,-1447.86814355
-875.636421242,11.82814335,-2.46427908145e-05,-1446.78759084
-874.971520947,11.8086421104,-2.4602283512e-05,-1445.70697255
-874.306605081,11.7891552151,-2.45618314005e-05,-1444.62628871
-873.641673656,11.7696826657,-2.45214344803e-05,-1443.54553938
-872.976726683,11.7502244634,-2.44810927502e-05,-1442.46472458
-872.311764173,11.7307806096,-2.44408062115e-05,-1441.38384437
-871.646786138,11.7113511057,-2.44005748631e-05,-1440.3028988
-870.981792588,11.6919359531,-2.43603987048e-05,-1439.22188789
-870.316783535,11.6725351532,-2.43202777376e-05,-1438.1408117
-869.651758989,11.6531487072,-2.42802119593e-05,-1437.05967027
-868.986718962,11.6337766166,-2.42402013714e-05,-1435.97846364
-868.321663465,11.6144188828,-2.42002459717e-05,-1434.89719185
-867.65659251,11.595075507,-2.41603457604e-05,-1433.81585496
-866.991506107,11.5757464908,-2.41205007378e-05,-1432.734453
-866.326404267,11.5564318353,-2.40807109023e-05,-1431.65298601
-865.661287002,11.5371315421,-2.40409762528e-05,-1430.57145404
-864.996154323,11.5178456125,-2.40012967897e-05,-1429.48985713
-864.331006241,11.4985740477,-2.39616725118e-05,-1428.40819533
-863.665842767,11.4793168493,-2.39221034176e-05,-1427.32646867
-863.000663912,11.4600740185,-2.3882589507e-05,-1426.24467721
-862.335469688,11.4408455567,-2.38431307784e-05,-1425.16282098
-861.670260105,11.4216314652,-2.38037272315e-05,-1424.08090003
-861.005035175,11.4024317455,-2.37643788643e-05,-1422.99891441
-860.33979491,11.3832463989,-2.37250856766e-05,-1421.91686414
-859.674539319,11.3640754266,-2.36858476663e-05,-1420.83474929
-859.009268415,11.3449188302,-2.36466648323e-05,-1419.75256989
-858.343982208,11.3257766109,-2.3607537174e-05,-1418.67032599
